paese,latitudine,longitudine,regione,sub_regione
Libano,33.8547,35.8623,Medio Oriente,Levante
Mali,17.5707,-3.9962,Africa,Africa Occidentale
Kosovo,42.6026,20.9030,Europa,Balcani
Sahara Occidentale,24.2155,-12.8858,Africa,Africa Settentrionale
Libia,26.3351,17.2283,Africa,Africa Settentrionale
Niger,17.6078,8.0817,Africa,Africa Occidentale
Afghanistan,33.9391,67.7100,Asia,Asia Centrale
Repubblica Centrafricana,6.6111,20.9394,Africa,Africa Centrale
Sudan del Sud,6.8770,31.3070,Africa,Africa Orientale
Somalia,5.1521,46.1996,Africa,Corno d'Africa
Bosnia ed Erzegovina,43.9159,17.6791,Europa,Balcani
Liberia,6.4281,-9.4295,Africa,Africa Occidentale
Repubblica Democratica del Congo,-4.0383,21.7587,Africa,Africa Centrale
Costa d'Avorio,7.5400,-5.5471,Africa,Africa Occidentale
Sudan,12.8628,30.2176,Africa,Africa Orientale
Darfur,13.4439,24.9042,Africa,Africa Orientale
Iraq-Kuwait,29.3117,47.4818,Medio Oriente,Golfo Persico
Iraq,33.2232,43.6793,Medio Oriente,Golfo Persico
Haiti,18.9712,-72.2852,America,Caraibi
Timor Est,-8.8742,125.7275,Asia,Asia Sudorientale
Etiopia-Eritrea,9.1450,40.4897,Africa,Corno d'Africa 
