file_name,file_type,extraction_success,missions_found,countries_found,personnel_numbers,cost_entries,overall_confidence,text_length,pages_processed
2025_ Dossier sintesi XIXlegislatura proroga missioni 2024 e ulteriori per 2025.pdf,pdf,True,20,15,75,63,0.13957142857142868,246970,109
DI0145.pdf,pdf,True,20,15,75,63,0.13957142857142868,246970,109
DI0147.pdf,pdf,True,0,3,0,20,0.10299999999999995,14237,5
DI0148.pdf,pdf,True,0,13,2,0,0.11500000000000013,30828,7
INTERO.pdf,pdf,True,38,19,330,112,0.13695488721803892,1558317,756
relazione analitica 2024 e proroga 2025 doc_026_n_003.pdf,pdf,True,41,32,318,81,0.13438153310103854,2119263,798
report.pdf,pdf,True,20,15,75,63,0.13957142857142874,243930,112
serie storica personale militare missioni estere 2004-2022.pdf,pdf,True,9,15,23,3,0.14319047619047626,22207,17
EUGED_Codebook_V3_Nov2020.docx,pdf,True,8,8,74,1,0.146428571428571,73034,0
frame.docx,pdf,True,2,6,1,0,0.1441666666666663,64408,0
note Aggiornamenti Dataset.docx,pdf,True,1,6,0,0,0.12299999999999997,5007,0
