file,type,quality_score,confidence,factors,has_error
2025_ Dossier sintesi XIXlegislatura proroga missioni 2024 e ulteriori per 2025.pdf,pdf,100,0.13957142857142868,"Testo estratto, Missioni trovate, Paesi identificati, Dati numerici",False
DI0145.pdf,pdf,100,0.13957142857142868,"Testo estratto, Missioni trovate, Paesi identificati, Dati numerici",False
DI0147.pdf,pdf,75,0.10299999999999995,"Testo estratto, Paesi identificati, Dati numerici",False
DI0148.pdf,pdf,75,0.11500000000000013,"Testo estratto, Paesi identificati, Dati numerici",False
INTERO.pdf,pdf,100,0.14042857142856507,"Testo estratto, Missioni trovate, Paesi identificati, Dati numerici",False
relazione analitica 2024 e proroga 2025 doc_026_n_003.pdf,pdf,100,0.13999999999999307,"Testo estratto, Missioni trovate, Paesi identificati, Dati numerici",False
report.pdf,pdf,100,0.13957142857142874,"Testo estratto, Missioni trovate, Paesi identificati, Dati numerici",False
serie storica personale militare missioni estere 2004-2022.pdf,pdf,100,0.14319047619047626,"Testo estratto, Missioni trovate, Paesi identificati, Dati numerici",False
EUGED_Codebook_V3_Nov2020.docx,pdf,100,0.146428571428571,"Testo estratto, Missioni trovate, Paesi identificati, Dati numerici",False
frame.docx,pdf,100,0.1441666666666663,"Testo estratto, Missioni trovate, Paesi identificati, Dati numerici",False
note Aggiornamenti Dataset.docx,pdf,75,0.12299999999999997,"Testo estratto, Missioni trovate, Paesi identificati",False
